Size,Threshold,Comparisons,CPU Time (ms)
1000000,10,19072758,118.929
1000000,14,19072082,119.592
1000000,16,20223693,108.543
1000000,20,20225994,107.642
1000000,24,20223619,111.750
1000000,26,20224815,114.201
1000000,32,23185315,107.518
1000000,45,23183421,107.669
1000000,50,23173512,104.326
1000000,64,29899531,109.649
1000000,86,29907608,110.401
1000000,95,29897154,111.474
1000000,100,29902719,110.991
1000000,200,44218609,130.065
1000000,500,133662580,261.124
1000000,1000,255115048,433.749
