Size,Threshold,Comparisons,CPU Time (ms)
1000,50,13254,0.092
5000,50,87243,0.534
10000,50,183299,1.148
50000,50,1139511,6.230
100000,50,2386492,11.910
200000,50,4967132,21.182
300000,50,6817096,28.793
500000,50,11094605,50.599
800000,50,21470695,86.797
900000,50,20169435,92.330
1000000,50,23186663,110.241
2000000,50,48367804,225.773
3000000,50,84151857,353.011
5000000,50,135608783,617.695
8000000,50,209463032,980.759
9000000,50,244456689,1106.052
10000000,50,281227596,1247.938
